"","Film","director","Actor","Award_Status","Ceremony_Year","Session","Category","Role","Status"
"1086","Million Dollar Baby","Clint Eastwood","Riki Lindhome",NA,NA,NA,NA,NA,"Non-Nominee"
"1087","Million Dollar Baby","Clint Eastwood","Michael Peña",NA,NA,NA,NA,NA,"Non-Nominee"
"1088","Million Dollar Baby","Clint Eastwood","Benito Martinez",NA,NA,NA,NA,NA,"Non-Nominee"
"1089","Million Dollar Baby","Clint Eastwood","Bruce MacVittie",NA,NA,NA,NA,NA,"Non-Nominee"
"1090","Million Dollar Baby","Clint Eastwood","David Powledge",NA,NA,NA,NA,NA,"Non-Nominee"
"1091","Million Dollar Baby","Clint Eastwood","Joe D'Angerio",NA,NA,NA,NA,NA,"Non-Nominee"
"1092","Mrs. Henderson Presents","Stephen Frears","Judi Dench",NA,NA,NA,NA,NA,"Non-Nominee"
"1093","Mrs. Henderson Presents","Stephen Frears","Bob Hoskins",NA,NA,NA,NA,NA,"Non-Nominee"
"1094","Mrs. Henderson Presents","Stephen Frears","Will Young",NA,NA,NA,NA,NA,"Non-Nominee"
"1095","Mrs. Henderson Presents","Stephen Frears","Christopher Guest",NA,NA,NA,NA,NA,"Non-Nominee"
"1096","Mrs. Henderson Presents","Stephen Frears","Kelly Reilly",NA,NA,NA,NA,NA,"Non-Nominee"
"1097","Mrs. Henderson Presents","Stephen Frears","Thelma Barlow",NA,NA,NA,NA,NA,"Non-Nominee"
"1098","Mrs. Henderson Presents","Stephen Frears","Anna Brewster",NA,NA,NA,NA,NA,"Non-Nominee"
"1099","Mrs. Henderson Presents","Stephen Frears","Rosalind Halstead",NA,NA,NA,NA,NA,"Non-Nominee"
"1100","Mrs. Henderson Presents","Stephen Frears","Sarah Solemani",NA,NA,NA,NA,NA,"Non-Nominee"
"1101","Mrs. Henderson Presents","Stephen Frears","Natalia Tena",NA,NA,NA,NA,NA,"Non-Nominee"
"1102","Mrs. Henderson Presents","Stephen Frears","Thomas Allen",NA,NA,NA,NA,NA,"Non-Nominee"
"1103","Mrs. Henderson Presents","Stephen Frears","Richard Syms",NA,NA,NA,NA,NA,"Non-Nominee"
"1104","Mrs. Henderson Presents","Stephen Frears","Ralph Nossek",NA,NA,NA,NA,NA,"Non-Nominee"
"1105","Mrs. Henderson Presents","Stephen Frears","Camille O'Sullivan",NA,NA,NA,NA,NA,"Non-Nominee"
"1106","Mrs. Henderson Presents","Stephen Frears","Doraly Rosen",NA,NA,NA,NA,NA,"Non-Nominee"
"1107","Munich","Steven Spielberg","Eric Bana",NA,NA,NA,NA,NA,"Non-Nominee"
"1108","Munich","Steven Spielberg","Daniel Craig",NA,NA,NA,NA,NA,"Non-Nominee"
"1109","Munich","Steven Spielberg","Ciarán Hinds",NA,NA,NA,NA,NA,"Non-Nominee"
"1110","Munich","Steven Spielberg","Mathieu Kassovitz",NA,NA,NA,NA,NA,"Non-Nominee"
"1111","Munich","Steven Spielberg","Hanns Zischler",NA,NA,NA,NA,NA,"Non-Nominee"
"1112","Munich","Steven Spielberg","Ayelet Zurer",NA,NA,NA,NA,NA,"Non-Nominee"
"1113","Munich","Steven Spielberg","Geoffrey Rush",NA,NA,NA,NA,NA,"Non-Nominee"
"1114","Munich","Steven Spielberg","Gila Almagor",NA,NA,NA,NA,NA,"Non-Nominee"
"1115","Munich","Steven Spielberg","Michael Lonsdale",NA,NA,NA,NA,NA,"Non-Nominee"
"1116","Munich","Steven Spielberg","Mathieu Amalric",NA,NA,NA,NA,NA,"Non-Nominee"
"1117","Munich","Steven Spielberg","Moritz Bleibtreu",NA,NA,NA,NA,NA,"Non-Nominee"
"1118","Munich","Steven Spielberg","Valeria Bruni Tedeschi",NA,NA,NA,NA,NA,"Non-Nominee"
"1119","Munich","Steven Spielberg","Meret Becker",NA,NA,NA,NA,NA,"Non-Nominee"
"1120","Munich","Steven Spielberg","Marie-Josée Croze",NA,NA,NA,NA,NA,"Non-Nominee"
"1121","Munich","Steven Spielberg","Yvan Attal",NA,NA,NA,NA,NA,"Non-Nominee"
"1122","Mystic River","Clint Eastwood","Sean Penn","Winner","2003","76","ACTOR IN A LEADING ROLE","Jimmy Markum","Winner"
"1123","Mystic River","Clint Eastwood","Tim Robbins","Winner","2003","76","ACTOR IN A SUPPORTING ROLE","Dave Boyle","Winner"
"1124","Mystic River","Clint Eastwood","Kevin Bacon",NA,NA,NA,NA,NA,"Non-Nominee"
"1125","Mystic River","Clint Eastwood","Laurence Fishburne",NA,NA,NA,NA,NA,"Non-Nominee"
"1126","Mystic River","Clint Eastwood","Marcia Gay Harden","Nominee","2003","76","ACTRESS IN A SUPPORTING ROLE","Celeste Boyle","Nominee"
"1127","Mystic River","Clint Eastwood","Laura Linney",NA,NA,NA,NA,NA,"Non-Nominee"
"1128","Mystic River","Clint Eastwood","Kevin Chapman",NA,NA,NA,NA,NA,"Non-Nominee"
"1129","Mystic River","Clint Eastwood","Tom Guiry",NA,NA,NA,NA,NA,"Non-Nominee"
"1130","Mystic River","Clint Eastwood","Emmy Rossum",NA,NA,NA,NA,NA,"Non-Nominee"
"1131","Mystic River","Clint Eastwood","Spencer Treat Clark",NA,NA,NA,NA,NA,"Non-Nominee"
"1132","Mystic River","Clint Eastwood","Andrew Mackin",NA,NA,NA,NA,NA,"Non-Nominee"
"1133","Mystic River","Clint Eastwood","Adam Nelson",NA,NA,NA,NA,NA,"Non-Nominee"
"1134","Mystic River","Clint Eastwood","Robert Wahlberg",NA,NA,NA,NA,NA,"Non-Nominee"
"1135","Mystic River","Clint Eastwood","Jenny O'Hara",NA,NA,NA,NA,NA,"Non-Nominee"
"1136","Mystic River","Clint Eastwood","John Doman",NA,NA,NA,NA,NA,"Non-Nominee"
"1137","Requiem for a Dream","Darren Aronofsky","Ellen Burstyn","Nominee","2000","73","ACTOR IN A SUPPORTING ROLE","Sara Goldfarb","Nominee"
"1138","Requiem for a Dream","Darren Aronofsky","Jared Leto",NA,NA,NA,NA,NA,"Non-Nominee"
"1139","Requiem for a Dream","Darren Aronofsky","Jennifer Connelly",NA,NA,NA,NA,NA,"Non-Nominee"
"1140","Requiem for a Dream","Darren Aronofsky","Marlon Wayans",NA,NA,NA,NA,NA,"Non-Nominee"
"1141","Requiem for a Dream","Darren Aronofsky","Christopher McDonald",NA,NA,NA,NA,NA,"Non-Nominee"
"1142","Requiem for a Dream","Darren Aronofsky","Louise Lasser",NA,NA,NA,NA,NA,"Non-Nominee"
"1143","Requiem for a Dream","Darren Aronofsky","Marcia Jean Kurtz",NA,NA,NA,NA,NA,"Non-Nominee"
"1144","Requiem for a Dream","Darren Aronofsky","Janet Sarno",NA,NA,NA,NA,NA,"Non-Nominee"
"1145","Requiem for a Dream","Darren Aronofsky","Suzanne Shepherd",NA,NA,NA,NA,NA,"Non-Nominee"
"1146","Requiem for a Dream","Darren Aronofsky","Joanne Gordon",NA,NA,NA,NA,NA,"Non-Nominee"
"1147","Requiem for a Dream","Darren Aronofsky","Charlotte Aronofsky",NA,NA,NA,NA,NA,"Non-Nominee"
"1148","Requiem for a Dream","Darren Aronofsky","Mark Margolis",NA,NA,NA,NA,NA,"Non-Nominee"
"1149","Requiem for a Dream","Darren Aronofsky","Michael Kaycheck",NA,NA,NA,NA,NA,"Non-Nominee"
"1150","Requiem for a Dream","Darren Aronofsky","Jack A. O'Connell",NA,NA,NA,NA,NA,"Non-Nominee"
"1151","Requiem for a Dream","Darren Aronofsky","Chas Mastin",NA,NA,NA,NA,NA,"Non-Nominee"
"1152","Revolutionary Road","Sam Mendes","Leonardo DiCaprio",NA,NA,NA,NA,NA,"Non-Nominee"
"1153","Revolutionary Road","Sam Mendes","Kate Winslet",NA,NA,NA,NA,NA,"Non-Nominee"
"1154","Revolutionary Road","Sam Mendes","Kathy Bates",NA,NA,NA,NA,NA,"Non-Nominee"
"1155","Revolutionary Road","Sam Mendes","Michael Shannon","Nominee","2008","81","ACTOR IN A SUPPORTING ROLE","John Givings","Nominee"
"1156","Revolutionary Road","Sam Mendes","Kathryn Hahn",NA,NA,NA,NA,NA,"Non-Nominee"
"1157","Revolutionary Road","Sam Mendes","David Harbour",NA,NA,NA,NA,NA,"Non-Nominee"
"1158","Revolutionary Road","Sam Mendes","Dylan Baker",NA,NA,NA,NA,NA,"Non-Nominee"
"1159","Revolutionary Road","Sam Mendes","Richard Easton",NA,NA,NA,NA,NA,"Non-Nominee"
"1160","Revolutionary Road","Sam Mendes","Zoe Kazan",NA,NA,NA,NA,NA,"Non-Nominee"
"1161","Revolutionary Road","Sam Mendes","Jay O. Sanders",NA,NA,NA,NA,NA,"Non-Nominee"
"1162","Revolutionary Road","Sam Mendes","Max Baker",NA,NA,NA,NA,NA,"Non-Nominee"
"1163","Revolutionary Road","Sam Mendes","Max Casella",NA,NA,NA,NA,NA,"Non-Nominee"
"1164","Revolutionary Road","Sam Mendes","Christopher Fitzgerald",NA,NA,NA,NA,NA,"Non-Nominee"
"1165","Revolutionary Road","Sam Mendes","Jonathan Roumie",NA,NA,NA,NA,NA,"Non-Nominee"
"1166","Revolutionary Road","Sam Mendes","Neal Bledsoe",NA,NA,NA,NA,NA,"Non-Nominee"
"1167","Road to Perdition","Sam Mendes","Tom Hanks",NA,NA,NA,NA,NA,"Non-Nominee"
"1168","Road to Perdition","Sam Mendes","Paul Newman","Nominee","2002","75","ACTOR IN A SUPPORTING ROLE","John Rooney","Nominee"
"1169","Road to Perdition","Sam Mendes","Jude Law",NA,NA,NA,NA,NA,"Non-Nominee"
"1170","Road to Perdition","Sam Mendes","Tyler Hoechlin",NA,NA,NA,NA,NA,"Non-Nominee"
"1171","Road to Perdition","Sam Mendes","Daniel Craig",NA,NA,NA,NA,NA,"Non-Nominee"
"1172","Road to Perdition","Sam Mendes","Stanley Tucci",NA,NA,NA,NA,NA,"Non-Nominee"
"1173","Road to Perdition","Sam Mendes","Jennifer Jason Leigh",NA,NA,NA,NA,NA,"Non-Nominee"
"1174","Road to Perdition","Sam Mendes","Liam Aiken",NA,NA,NA,NA,NA,"Non-Nominee"
"1175","Road to Perdition","Sam Mendes","Dylan Baker",NA,NA,NA,NA,NA,"Non-Nominee"
"1176","Road to Perdition","Sam Mendes","Ciarán Hinds",NA,NA,NA,NA,NA,"Non-Nominee"
"1177","Road to Perdition","Sam Mendes","David Darlow",NA,NA,NA,NA,NA,"Non-Nominee"
"1178","Road to Perdition","Sam Mendes","Kevin Chamberlin",NA,NA,NA,NA,NA,"Non-Nominee"
"1179","Road to Perdition","Sam Mendes","Doug Spinuzza",NA,NA,NA,NA,NA,"Non-Nominee"
"1180","Road to Perdition","Sam Mendes","Kurt Naebig",NA,NA,NA,NA,NA,"Non-Nominee"
"1181","Road to Perdition","Sam Mendes","Duane Sharp",NA,NA,NA,NA,NA,"Non-Nominee"
"1182","Saving Private Ryan","Steven Spielberg","Tom Hanks","Nominee","1998","71","ACTOR IN A LEADING ROLE","Captain Miller","Nominee"
"1183","Saving Private Ryan","Steven Spielberg","Tom Sizemore",NA,NA,NA,NA,NA,"Non-Nominee"
"1184","Saving Private Ryan","Steven Spielberg","Edward Burns",NA,NA,NA,NA,NA,"Non-Nominee"
"1185","Saving Private Ryan","Steven Spielberg","Barry Pepper",NA,NA,NA,NA,NA,"Non-Nominee"
"1186","Saving Private Ryan","Steven Spielberg","Adam Goldberg",NA,NA,NA,NA,NA,"Non-Nominee"
"1187","Saving Private Ryan","Steven Spielberg","Vin Diesel",NA,NA,NA,NA,NA,"Non-Nominee"
"1188","Saving Private Ryan","Steven Spielberg","Giovanni Ribisi",NA,NA,NA,NA,NA,"Non-Nominee"
"1189","Saving Private Ryan","Steven Spielberg","Jeremy Davies",NA,NA,NA,NA,NA,"Non-Nominee"
"1190","Saving Private Ryan","Steven Spielberg","Matt Damon",NA,NA,NA,NA,NA,"Non-Nominee"
"1191","Saving Private Ryan","Steven Spielberg","Ted Danson",NA,NA,NA,NA,NA,"Non-Nominee"
"1192","Saving Private Ryan","Steven Spielberg","Paul Giamatti",NA,NA,NA,NA,NA,"Non-Nominee"
"1193","Saving Private Ryan","Steven Spielberg","Dennis Farina",NA,NA,NA,NA,NA,"Non-Nominee"
"1194","Saving Private Ryan","Steven Spielberg","Joerg Stadler",NA,NA,NA,NA,NA,"Non-Nominee"
"1195","Saving Private Ryan","Steven Spielberg","Max Martini",NA,NA,NA,NA,NA,"Non-Nominee"
"1196","Saving Private Ryan","Steven Spielberg","Dylan Bruno",NA,NA,NA,NA,NA,"Non-Nominee"
"1197","Sideways","Alexander Payne","Paul Giamatti",NA,NA,NA,NA,NA,"Non-Nominee"
"1198","Sideways","Alexander Payne","Thomas Haden Church","Nominee","2004","77","ACTOR IN A SUPPORTING ROLE","Jack","Nominee"
"1199","Sideways","Alexander Payne","Virginia Madsen","Nominee","2004","77","ACTRESS IN A SUPPORTING ROLE","Maya","Nominee"
"1200","Sideways","Alexander Payne","Sandra Oh",NA,NA,NA,NA,NA,"Non-Nominee"
"1201","Sideways","Alexander Payne","Marylouise Burke",NA,NA,NA,NA,NA,"Non-Nominee"
"1202","Sideways","Alexander Payne","Jessica Hecht",NA,NA,NA,NA,NA,"Non-Nominee"
"1203","Sideways","Alexander Payne","Missy Doty",NA,NA,NA,NA,NA,"Non-Nominee"
"1204","Sideways","Alexander Payne","M.C. Gainey",NA,NA,NA,NA,NA,"Non-Nominee"
"1205","Sideways","Alexander Payne","Alysia Reiner",NA,NA,NA,NA,NA,"Non-Nominee"
"1206","Sideways","Alexander Payne","Shake Tukhmanyan",NA,NA,NA,NA,NA,"Non-Nominee"
"1207","Sideways","Alexander Payne","Shaun Duke",NA,NA,NA,NA,NA,"Non-Nominee"
"1208","Sideways","Alexander Payne","Robert Covarrubias",NA,NA,NA,NA,NA,"Non-Nominee"
"1209","Sideways","Alexander Payne","Patrick Gallagher",NA,NA,NA,NA,NA,"Non-Nominee"
"1210","Sideways","Alexander Payne","Stephanie Faracy",NA,NA,NA,NA,NA,"Non-Nominee"
"1211","Sideways","Alexander Payne","Joe Marinelli",NA,NA,NA,NA,NA,"Non-Nominee"
"1212","Sweet and Lowdown","Woody Allen","Sean Penn","Nominee","1999","72","ACTOR IN A LEADING ROLE","Emmet Ray","Nominee"
"1213","Sweet and Lowdown","Woody Allen","Samantha Morton","Nominee","1999","72","ACTRESS IN A SUPPORTING ROLE","Hattie","Nominee"
"1214","Sweet and Lowdown","Woody Allen","Anthony LaPaglia",NA,NA,NA,NA,NA,"Non-Nominee"
"1215","Sweet and Lowdown","Woody Allen","Uma Thurman",NA,NA,NA,NA,NA,"Non-Nominee"
"1216","Sweet and Lowdown","Woody Allen","James Urbaniak",NA,NA,NA,NA,NA,"Non-Nominee"
"1217","Sweet and Lowdown","Woody Allen","John Waters",NA,NA,NA,NA,NA,"Non-Nominee"
"1218","Sweet and Lowdown","Woody Allen","Gretchen Mol",NA,NA,NA,NA,NA,"Non-Nominee"
"1219","Sweet and Lowdown","Woody Allen","Denis O'Hare",NA,NA,NA,NA,NA,"Non-Nominee"
"1220","Sweet and Lowdown","Woody Allen","Molly Price",NA,NA,NA,NA,NA,"Non-Nominee"
"1221","Sweet and Lowdown","Woody Allen","Brian Markinson",NA,NA,NA,NA,NA,"Non-Nominee"
"1222","Sweet and Lowdown","Woody Allen","Tony Darrow",NA,NA,NA,NA,NA,"Non-Nominee"
"1223","Sweet and Lowdown","Woody Allen","Daniel Okrent",NA,NA,NA,NA,NA,"Non-Nominee"
"1224","Sweet and Lowdown","Woody Allen","Brad Garrett",NA,NA,NA,NA,NA,"Non-Nominee"
"1225","Sweet and Lowdown","Woody Allen","Kaili Vernoff",NA,NA,NA,NA,NA,"Non-Nominee"
"1226","Sweet and Lowdown","Woody Allen","Woody Allen",NA,NA,NA,NA,NA,"Non-Nominee"
"1227","Talk to Her","Pedro Almodóvar","Leonor Watling",NA,NA,NA,NA,NA,"Non-Nominee"
"1228","Talk to Her","Pedro Almodóvar","Rosario Flores",NA,NA,NA,NA,NA,"Non-Nominee"
"1229","Talk to Her","Pedro Almodóvar","Javier Cámara",NA,NA,NA,NA,NA,"Non-Nominee"
"1230","Talk to Her","Pedro Almodóvar","Darío Grandinetti",NA,NA,NA,NA,NA,"Non-Nominee"
"1231","Talk to Her","Pedro Almodóvar","Mariola Fuentes",NA,NA,NA,NA,NA,"Non-Nominee"
"1232","Talk to Her","Pedro Almodóvar","Geraldine Chaplin",NA,NA,NA,NA,NA,"Non-Nominee"
"1233","Talk to Her","Pedro Almodóvar","Pina Bausch",NA,NA,NA,NA,NA,"Non-Nominee"
"1234","Talk to Her","Pedro Almodóvar","Malou Airaudo",NA,NA,NA,NA,NA,"Non-Nominee"
"1235","Talk to Her","Pedro Almodóvar","Caetano Veloso",NA,NA,NA,NA,NA,"Non-Nominee"
"1236","Talk to Her","Pedro Almodóvar","Roberto Álvarez",NA,NA,NA,NA,NA,"Non-Nominee"
"1237","Talk to Her","Pedro Almodóvar","Elena Anaya",NA,NA,NA,NA,NA,"Non-Nominee"
"1238","Talk to Her","Pedro Almodóvar","Lola Dueñas",NA,NA,NA,NA,NA,"Non-Nominee"
"1239","Talk to Her","Pedro Almodóvar","Adolfo Fernández",NA,NA,NA,NA,NA,"Non-Nominee"
"1240","Talk to Her","Pedro Almodóvar","Ana Fernández",NA,NA,NA,NA,NA,"Non-Nominee"
"1241","Talk to Her","Pedro Almodóvar","Chus Lampreave",NA,NA,NA,NA,NA,"Non-Nominee"
"1242","The Aviator","Martin Scorsese","Leonardo DiCaprio","Nominee","2004","77","ACTOR IN A LEADING ROLE","Howard Hughes","Nominee"
"1243","The Aviator","Martin Scorsese","Cate Blanchett","Winner","2004","77","ACTRESS IN A SUPPORTING ROLE","Katharine Hepburn","Winner"
"1244","The Aviator","Martin Scorsese","Kate Beckinsale",NA,NA,NA,NA,NA,"Non-Nominee"
"1245","The Aviator","Martin Scorsese","John C. Reilly",NA,NA,NA,NA,NA,"Non-Nominee"
"1246","The Aviator","Martin Scorsese","Alec Baldwin",NA,NA,NA,NA,NA,"Non-Nominee"
"1247","The Aviator","Martin Scorsese","Alan Alda","Nominee","2004","77","ACTOR IN A SUPPORTING ROLE","Senator Ralph Owen Brewster","Nominee"
"1248","The Aviator","Martin Scorsese","Ian Holm",NA,NA,NA,NA,NA,"Non-Nominee"
"1249","The Aviator","Martin Scorsese","Danny Huston",NA,NA,NA,NA,NA,"Non-Nominee"
"1250","The Aviator","Martin Scorsese","Gwen Stefani",NA,NA,NA,NA,NA,"Non-Nominee"
"1251","The Aviator","Martin Scorsese","Jude Law",NA,NA,NA,NA,NA,"Non-Nominee"
"1252","The Aviator","Martin Scorsese","Adam Scott",NA,NA,NA,NA,NA,"Non-Nominee"
"1253","The Aviator","Martin Scorsese","Matt Ross",NA,NA,NA,NA,NA,"Non-Nominee"
"1254","The Aviator","Martin Scorsese","Kelli Garner",NA,NA,NA,NA,NA,"Non-Nominee"
"1255","The Aviator","Martin Scorsese","Frances Conroy",NA,NA,NA,NA,NA,"Non-Nominee"
"1256","The Aviator","Martin Scorsese","Brent Spiner",NA,NA,NA,NA,NA,"Non-Nominee"
"1257","The Curious Case of Benjamin Button","David Fincher","Brad Pitt","Nominee","2008","81","ACTOR IN A LEADING ROLE","Benjamin Button","Nominee"
"1258","The Curious Case of Benjamin Button","David Fincher","Cate Blanchett",NA,NA,NA,NA,NA,"Non-Nominee"
"1259","The Curious Case of Benjamin Button","David Fincher","Taraji P. Henson","Nominee","2008","81","ACTRESS IN A SUPPORTING ROLE","Queenie","Nominee"
"1260","The Curious Case of Benjamin Button","David Fincher","Julia Ormond",NA,NA,NA,NA,NA,"Non-Nominee"
"1261","The Curious Case of Benjamin Button","David Fincher","Jason Flemyng",NA,NA,NA,NA,NA,"Non-Nominee"
"1262","The Curious Case of Benjamin Button","David Fincher","Tilda Swinton",NA,NA,NA,NA,NA,"Non-Nominee"
"1263","The Curious Case of Benjamin Button","David Fincher","Mahershala Ali",NA,NA,NA,NA,NA,"Non-Nominee"
"1264","The Curious Case of Benjamin Button","David Fincher","Jared Harris",NA,NA,NA,NA,NA,"Non-Nominee"
"1265","The Curious Case of Benjamin Button","David Fincher","Elias Koteas",NA,NA,NA,NA,NA,"Non-Nominee"
"1266","The Curious Case of Benjamin Button","David Fincher","Phyllis Somerville",NA,NA,NA,NA,NA,"Non-Nominee"
"1267","The Curious Case of Benjamin Button","David Fincher","Faune Chambers Watkins",NA,NA,NA,NA,NA,"Non-Nominee"
"1268","The Curious Case of Benjamin Button","David Fincher","Donna DuPlantier",NA,NA,NA,NA,NA,"Non-Nominee"
"1269","The Curious Case of Benjamin Button","David Fincher","Jacob Tolano",NA,NA,NA,NA,NA,"Non-Nominee"
"1270","The Curious Case of Benjamin Button","David Fincher","Earl Maddox",NA,NA,NA,NA,NA,"Non-Nominee"
"1271","The Curious Case of Benjamin Button","David Fincher","Ed Metzger",NA,NA,NA,NA,NA,"Non-Nominee"
"1272","The Dark Knight","Christopher Nolan","Christian Bale",NA,NA,NA,NA,NA,"Non-Nominee"
"1273","The Dark Knight","Christopher Nolan","Heath Ledger","Winner","2008","81","ACTOR IN A SUPPORTING ROLE","Joker","Winner"
"1274","The Dark Knight","Christopher Nolan","Aaron Eckhart",NA,NA,NA,NA,NA,"Non-Nominee"
"1275","The Dark Knight","Christopher Nolan","Michael Caine",NA,NA,NA,NA,NA,"Non-Nominee"
"1276","The Dark Knight","Christopher Nolan","Maggie Gyllenhaal",NA,NA,NA,NA,NA,"Non-Nominee"
"1277","The Dark Knight","Christopher Nolan","Gary Oldman",NA,NA,NA,NA,NA,"Non-Nominee"
"1278","The Dark Knight","Christopher Nolan","Morgan Freeman",NA,NA,NA,NA,NA,"Non-Nominee"
"1279","The Dark Knight","Christopher Nolan","Monique Gabriela Curnen",NA,NA,NA,NA,NA,"Non-Nominee"
"1280","The Dark Knight","Christopher Nolan","Ron Dean",NA,NA,NA,NA,NA,"Non-Nominee"
"1281","The Dark Knight","Christopher Nolan","Cillian Murphy",NA,NA,NA,NA,NA,"Non-Nominee"
"1282","The Dark Knight","Christopher Nolan","Chin Han",NA,NA,NA,NA,NA,"Non-Nominee"
"1283","The Dark Knight","Christopher Nolan","Nestor Carbonell",NA,NA,NA,NA,NA,"Non-Nominee"
"1284","The Dark Knight","Christopher Nolan","Eric Roberts",NA,NA,NA,NA,NA,"Non-Nominee"
"1285","The Dark Knight","Christopher Nolan","Ritchie Coster",NA,NA,NA,NA,NA,"Non-Nominee"
"1286","The Dark Knight","Christopher Nolan","Anthony Michael Hall",NA,NA,NA,NA,NA,"Non-Nominee"
"1287","The Departed","Martin Scorsese","Leonardo DiCaprio",NA,NA,NA,NA,NA,"Non-Nominee"
"1288","The Departed","Martin Scorsese","Matt Damon",NA,NA,NA,NA,NA,"Non-Nominee"
"1289","The Departed","Martin Scorsese","Jack Nicholson",NA,NA,NA,NA,NA,"Non-Nominee"
"1290","The Departed","Martin Scorsese","Mark Wahlberg","Nominee","2006","79","ACTOR IN A SUPPORTING ROLE","Dignam","Nominee"
"1291","The Departed","Martin Scorsese","Martin Sheen",NA,NA,NA,NA,NA,"Non-Nominee"
"1292","The Departed","Martin Scorsese","Ray Winstone",NA,NA,NA,NA,NA,"Non-Nominee"
"1293","The Departed","Martin Scorsese","Vera Farmiga",NA,NA,NA,NA,NA,"Non-Nominee"
"1294","The Departed","Martin Scorsese","Anthony Anderson",NA,NA,NA,NA,NA,"Non-Nominee"
"1295","The Departed","Martin Scorsese","Alec Baldwin",NA,NA,NA,NA,NA,"Non-Nominee"
"1296","The Departed","Martin Scorsese","Kevin Corrigan",NA,NA,NA,NA,NA,"Non-Nominee"
"1297","The Departed","Martin Scorsese","James Badge Dale",NA,NA,NA,NA,NA,"Non-Nominee"
"1298","The Departed","Martin Scorsese","David O'Hara",NA,NA,NA,NA,NA,"Non-Nominee"
"1299","The Departed","Martin Scorsese","Mark Rolston",NA,NA,NA,NA,NA,"Non-Nominee"
"1300","The Departed","Martin Scorsese","Robert Wahlberg",NA,NA,NA,NA,NA,"Non-Nominee"
"1301","The Departed","Martin Scorsese","Kristen Dalton",NA,NA,NA,NA,NA,"Non-Nominee"
"1302","The Hours","Stephen Daldry","Julianne Moore","Nominee","2002","75","ACTRESS IN A SUPPORTING ROLE","Laura Brown","Nominee"
"1303","The Hours","Stephen Daldry","Nicole Kidman",NA,NA,NA,NA,NA,"Non-Nominee"
"1304","The Hours","Stephen Daldry","Meryl Streep",NA,NA,NA,NA,NA,"Non-Nominee"
"1305","The Hours","Stephen Daldry","Stephen Dillane",NA,NA,NA,NA,NA,"Non-Nominee"
"1306","The Hours","Stephen Daldry","Miranda Richardson",NA,NA,NA,NA,NA,"Non-Nominee"
"1307","The Hours","Stephen Daldry","Linda Bassett",NA,NA,NA,NA,NA,"Non-Nominee"
"1308","The Hours","Stephen Daldry","Lyndsey Marshal",NA,NA,NA,NA,NA,"Non-Nominee"
"1309","The Hours","Stephen Daldry","Christian Coulson",NA,NA,NA,NA,NA,"Non-Nominee"
"1310","The Hours","Stephen Daldry","Michael Culkin",NA,NA,NA,NA,NA,"Non-Nominee"
"1311","The Hours","Stephen Daldry","Charley Ramm",NA,NA,NA,NA,NA,"Non-Nominee"
"1312","The Hours","Stephen Daldry","Sophie Wyburd",NA,NA,NA,NA,NA,"Non-Nominee"
"1313","The Hours","Stephen Daldry","George Loftus",NA,NA,NA,NA,NA,"Non-Nominee"
"1314","The Hours","Stephen Daldry","John C. Reilly",NA,NA,NA,NA,NA,"Non-Nominee"
"1315","The Hours","Stephen Daldry","Toni Collette",NA,NA,NA,NA,NA,"Non-Nominee"
"1316","The Hours","Stephen Daldry","Ed Harris","Nominee","2002","75","ACTOR IN A SUPPORTING ROLE","Richard Brown","Nominee"
"1317","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Elijah Wood",NA,NA,NA,NA,NA,"Non-Nominee"
"1318","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Ian McKellen","Nominee","2001","74","ACTOR IN A SUPPORTING ROLE","Gandalf","Nominee"
"1319","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Viggo Mortensen",NA,NA,NA,NA,NA,"Non-Nominee"
"1320","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Sean Astin",NA,NA,NA,NA,NA,"Non-Nominee"
"1321","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Ian Holm",NA,NA,NA,NA,NA,"Non-Nominee"
"1322","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Liv Tyler",NA,NA,NA,NA,NA,"Non-Nominee"
"1323","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Christopher Lee",NA,NA,NA,NA,NA,"Non-Nominee"
"1324","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Sean Bean",NA,NA,NA,NA,NA,"Non-Nominee"
"1325","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Billy Boyd",NA,NA,NA,NA,NA,"Non-Nominee"
"1326","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Dominic Monaghan",NA,NA,NA,NA,NA,"Non-Nominee"
"1327","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","John Rhys-Davies",NA,NA,NA,NA,NA,"Non-Nominee"
"1328","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Orlando Bloom",NA,NA,NA,NA,NA,"Non-Nominee"
"1329","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Cate Blanchett",NA,NA,NA,NA,NA,"Non-Nominee"
"1330","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Hugo Weaving",NA,NA,NA,NA,NA,"Non-Nominee"
