NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Sally Hawkins -- Blue Jasmine {""Ginger""}"
Nominee,"Jennifer Lawrence -- American Hustle {""Rosalyn Rosenfeld""}"
Winner,"Lupita Nyong'o -- 12 Years a Slave {""Patsey""}"
Nominee,"Julia Roberts -- August: Osage County {""Barbara Weston""}"
Nominee,"June Squibb -- Nebraska {""Kate Grant""}"
NA,DIRECTING
Nominee,American Hustle -- David O. Russell
Winner,Gravity -- Alfonso Cuarón
Nominee,Nebraska -- Alexander Payne
Nominee,12 Years a Slave -- Steve McQueen
Nominee,The Wolf of Wall Street -- Martin Scorsese
NA,BEST PICTURE
Nominee,"American Hustle -- Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers"
Nominee,"Captain Phillips -- Scott Rudin, Dana Brunetti and Michael De Luca, Producers"
Nominee,"Dallas Buyers Club -- Robbie Brenner and Rachel Winter, Producers"
Nominee,"Gravity -- Alfonso Cuarón and David Heyman, Producers"
Nominee,"Her -- Megan Ellison, Spike Jonze and Vincent Landay, Producers"
Nominee,"Nebraska -- Albert Berger and Ron Yerxa, Producers"
Nominee,"Philomena -- Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
Winner,"12 Years a Slave -- Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
Nominee,"The Wolf of Wall Street -- Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
NA,2014 (87th)
NA,ACTOR IN A LEADING ROLE
Nominee,"Steve Carell -- Foxcatcher {""John du Pont""}"
Nominee,"Bradley Cooper -- American Sniper {""Chris Kyle""}"
Nominee,"Benedict Cumberbatch -- The Imitation Game {""Alan Turing""}"
Nominee,"Michael Keaton -- Birdman or (The Unexpected Virtue of Ignorance) {""Riggan""}"
Winner,"Eddie Redmayne -- The Theory of Everything {""Stephen Hawking""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Robert Duvall -- The Judge {""Joseph Palmer""}"
Nominee,"Ethan Hawke -- Boyhood {""Dad""}"
Nominee,"Edward Norton -- Birdman or (The Unexpected Virtue of Ignorance) {""Mike""}"
Nominee,"Mark Ruffalo -- Foxcatcher {""David Schultz""}"
Winner,"J.K. Simmons -- Whiplash {""Fletcher""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Marion Cotillard -- Two Days, One Night {""Sandra""}"
Nominee,"Felicity Jones -- The Theory of Everything {""Jane Hawking""}"
Winner,"Julianne Moore -- Still Alice {""Alice Howland""}"
Nominee,"Rosamund Pike -- Gone Girl {""Amy Dunne""}"
