tmdb_id,title,director,genres,release_date,budget,Cast 1,Cast 2,Cast 3,Cast 4,Cast 5,Cast 6,Cast 7,Cast 8,Cast 9,Cast 10,Cast 11,Cast 12,Cast 13,Cast 14,Cast 15
10197,Nine,Rob Marshall,"Drama, Music, Romance",2009-12-03,80000000,Daniel Day-Lewis,Marion Cotillard,Penélope Cruz,Nicole Kidman,Judi Dench,Sophia Loren,Kate Hudson,Fergie,Ricky Tognazzi,Enzo Cilenti,Giuseppe Cederna,Elio Germano,Andrea Di Stefano,Roberto Nobile,Amy Bailey
6977,No Country for Old Men,"Joel Coen, Ethan Coen","Crime, Thriller, Western",2007-11-09,25000000,Javier Bardem,Tommy Lee Jones,Josh Brolin,Woody Harrelson,Kelly Macdonald,Garret Dillahunt,Tess Harper,Barry Corbin,Stephen Root,Rodger Boyce,Beth Grant,Ana Reeder,Kit Gwin,Zach Hopkins,Chip Love
9701,North Country,Niki Caro,Drama,2005-02-12,35000000,Charlize Theron,Frances McDormand,Woody Harrelson,Sean Bean,Jeremy Renner,Richard Jenkins,Sissy Spacek,Thomas Curtis,Elle Peterson,Michelle Monaghan,Linda Emond,James Cada,Xander Berkeley,John Aylward,Corey Stoll
1259,Notes on a Scandal,Richard Eyre,"Drama, Romance",2006-12-25,15000000,Judi Dench,Cate Blanchett,Bill Nighy,Andrew Simpson,Phil Davis,Michael Maloney,Juno Temple,Max Lewis,Joanna Scanlan,Julia McKenzie,Shaun Parkes,Tom Georgeson,Emma Kennedy,Syreeta Kumar,Wendy Nottingham
53113,One True Thing,Carl Franklin,"Drama, Romance",1998-09-18,0,Meryl Streep,Renée Zellweger,William Hurt,Tom Everett Scott,Lauren Graham,Nicky Katt,James Eckhouse,Patrick Breen,Gerrit Graham,David Byron,Stephen Peabody,Lizbeth MacKay,Mary Catherine Wright,Sloane Shelton,Michele Shay
1550,Pieces of April,Peter Hedges,"Comedy, Drama",2003-10-17,300000,Katie Holmes,Derek Luke,Patricia Clarkson,Oliver Platt,Alison Pill,John Gallagher Jr. Alice Drummond,Lillias White,Isiah Whitlock Jr. Vitali Baganov,Adrian Martinez,Susan Bruce,Jamari Richardson,Leila Danette,Stephen Chen,,
22,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Adventure, Fantasy, Action",2003-07-09,140000000,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Damian O'Hare,Giles New,Angus Barnett,David Bailie,Michael Berry Jr. Isaac C. Singleton,Jr. Kevin McNally,
12509,Pollock,Ed Harris,"Drama, History",2000-09-06,6000000,Ed Harris,Marcia Gay Harden,Tom Bower,Jennifer Connelly,Bud Cort,John Heard,Val Kilmer,David Leary,Robert Knott,Stephanie Seymour,Molly Regan,Sada Thompson,Eulala Scheel,Matthew Sussman,Amy Madigan
25793,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,Drama,2009-11-06,10000000,Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Sherri Shepherd,Lenny Kravitz,Stephanie Andujar,Chyna Layne,Amina Robinson,Xosha Roquemore,Angelic Zambrana,Aunt Dot,Nealla Gordon,Grace Hightower,Barret Helms
4348,Pride & Prejudice,Joe Wright,"Drama, Romance",2005-09-16,28000000,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Rosamund Pike,Carey Mulligan,Jena Malone,Talulah Riley,Donald Sutherland,Simon Woods,Judi Dench,Tom Hollander,Rupert Friend,Kelly Reilly,Claudie Blakley,Penelope Wilton
1592,Primal Fear,Gregory Hoblit,"Crime, Drama, Mystery, Thriller",1996-03-06,30000000,Richard Gere,Laura Linney,Edward Norton,John Mahoney,Alfre Woodard,Frances McDormand,Terry O'Quinn,Andre Braugher,Steven Bauer,Joe Spano,Tony Plana,Stanley Anderson,Maura Tierney,Jon Seda,Reg Rogers
9440,Primary Colors,Mike Nichols,"Drama, Comedy",1998-03-20,65000000,John Travolta,Emma Thompson,Billy Bob Thornton,Adrian Lester,Maura Tierney,Paul Guilfoyle,Larry Hagman,Kathy Bates,Diane Ladd,Rebecca Walker,Caroline Aaron,Tommy Hollis,Rob Reiner,Ben Jones,J.C. Quinn
10876,Quills,Philip Kaufman,Drama,2000-11-22,13500000,Geoffrey Rush,Kate Winslet,Joaquin Phoenix,Michael Caine,Billie Whitelaw,Patrick Malahide,Amelia Warner,Jane Menelaus,Stephen Moyer,Tony Pritchard,Michael Jenn,Danny Babington,George Antoni,Stephen Marcus,Elizabeth Berrington
14976,Rachel Getting Married,Jonathan Demme,"Drama, Romance",2008-09-03,12000000,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Debra Winger,Tunde Adebimpe,Mather Zickel,Anna Deavere Smith,Anisa George,Robyn Hitchcock,'Sister' Carol East,Beau Sia,Carol Jean Lewis,Fab 5 Freddy,Andre B. Blake,Roger Corman
1677,Ray,Taylor Hackford,"Drama, Music",2004-10-29,40000000,Jamie Foxx,Kerry Washington,Regina King,Harry Lennix,Clifton Powell,Bokeem Woodbine,Sharon Warren,C.J. Sanders,Curtis Armstrong,Richard Schiff,Larenz Tate,Terrence Howard,David Krumholtz,Wendell Pierce,Aunjanue Ellis-Taylor
